t_s,stage,x0,x1,x2,x3,x4,x5,x6,u0,u1,u2
0.000,0,-8.585957e+05,4.733940e+06,4.176394e+06,-3.452044e+02,-6.260980e+01,0.000000e+00,3.002900e+04,0.000000e+00,0.000000e+00,0.000000e+00
13.319,0,-8.633112e+05,4.733684e+06,4.176906e+06,-3.651268e+02,2.669105e+01,7.936307e+01,2.696768e+04,0.000000e+00,0.000000e+00,0.000000e+00
26.638,0,-8.684994e+05,4.734690e+06,4.178570e+06,-4.225903e+02,1.250606e+02,1.723039e+02,2.390636e+04,0.000000e+00,0.000000e+00,0.000000e+00
39.957,0,-8.748165e+05,4.737018e+06,4.181537e+06,-5.362470e+02,2.245303e+02,2.749224e+02,2.084505e+04,0.000000e+00,0.000000e+00,0.000000e+00
53.276,0,-8.830370e+05,4.740707e+06,4.185963e+06,-7.067470e+02,3.331143e+02,3.941668e+02,1.778373e+04,0.000000e+00,0.000000e+00,0.000000e+00
66.595,0,-8.939116e+05,4.746002e+06,4.192173e+06,-9.082681e+02,4.409622e+02,5.175938e+02,1.508900e+04,0.000000e+00,0.000000e+00,0.000000e+00
79.914,0,-9.058556e+05,4.751207e+06,4.198472e+06,-8.862443e+02,3.415726e+02,4.293045e+02,1.508900e+04,0.000000e+00,0.000000e+00,0.000000e+00
93.233,0,-9.182004e+05,4.755537e+06,4.204087e+06,-1.032996e+03,3.479451e+02,4.575342e+02,1.239094e+04,0.000000e+00,0.000000e+00,0.000000e+00
106.552,0,-9.338910e+05,4.760640e+06,4.210881e+06,-1.334750e+03,4.183030e+02,5.644729e+02,1.071158e+04,0.000000e+00,0.000000e+00,0.000000e+00
119.871,0,-9.541124e+05,4.766672e+06,4.219172e+06,-1.717464e+03,4.871177e+02,6.826614e+02,9.032231e+03,0.000000e+00,0.000000e+00,0.000000e+00
133.190,0,-9.801025e+05,4.773632e+06,4.229151e+06,-2.204705e+03,5.604257e+02,8.209144e+02,7.352879e+03,0.000000e+00,0.000000e+00,0.000000e+00
146.509,0,-1.013495e+06,4.781680e+06,4.241209e+06,-2.840105e+03,6.516166e+02,9.974415e+02,5.673526e+03,0.000000e+00,0.000000e+00,0.000000e+00
159.828,0,-1.051547e+06,4.789830e+06,4.254077e+06,-2.847854e+03,5.655666e+02,9.251522e+02,5.611600e+03,0.000000e+00,0.000000e+00,0.000000e+00
173.147,0,-1.089340e+06,4.796745e+06,4.265850e+06,-2.827176e+03,4.729700e+02,8.428585e+02,4.743000e+03,0.000000e+00,0.000000e+00,0.000000e+00
186.466,0,-1.126854e+06,4.802431e+06,4.276531e+06,-2.805950e+03,3.810305e+02,7.610408e+02,4.743000e+03,0.000000e+00,0.000000e+00,0.000000e+00
199.785,0,-1.164801e+06,4.806968e+06,4.286296e+06,-2.998093e+03,3.098555e+02,7.300824e+02,4.389610e+03,0.000000e+00,0.000000e+00,0.000000e+00
213.104,0,-1.207671e+06,4.810724e+06,4.296160e+06,-3.453603e+03,2.537756e+02,7.529032e+02,3.695885e+03,0.000000e+00,0.000000e+00,0.000000e+00
226.423,0,-1.257248e+06,4.813712e+06,4.306408e+06,-4.010825e+03,1.941223e+02,7.884625e+02,3.002159e+03,0.000000e+00,0.000000e+00,0.000000e+00
239.742,0,-1.315195e+06,4.815867e+06,4.317245e+06,-4.723370e+03,1.280915e+02,8.426885e+02,2.308434e+03,0.000000e+00,0.000000e+00,0.000000e+00
253.061,0,-1.383177e+06,4.817065e+06,4.328822e+06,-5.277979e+03,4.800765e+01,8.603931e+02,1.878300e+03,0.000000e+00,0.000000e+00,0.000000e+00
266.380,0,-1.453303e+06,4.817119e+06,4.339755e+06,-5.252184e+03,-3.960459e+01,7.815621e+02,1.878300e+03,0.000000e+00,0.000000e+00,0.000000e+00
279.699,0,-1.523080e+06,4.816013e+06,4.349643e+06,-5.225383e+03,-1.263529e+02,7.033124e+02,1.878300e+03,0.000000e+00,0.000000e+00,0.000000e+00
293.018,0,-1.592524e+06,4.813749e+06,4.358491e+06,-5.209986e+03,-2.155360e+02,6.247540e+02,1.553441e+03,0.000000e+00,0.000000e+00,0.000000e+00
306.337,0,-1.661945e+06,4.810251e+06,4.366281e+06,-5.214315e+03,-3.095570e+02,5.451260e+02,1.536030e+03,0.000000e+00,0.000000e+00,0.000000e+00
319.656,0,-1.731420e+06,4.805505e+06,4.373013e+06,-5.217961e+03,-4.031384e+02,4.657675e+02,1.518620e+03,0.000000e+00,0.000000e+00,0.000000e+00
332.975,0,-1.800938e+06,4.799515e+06,4.378690e+06,-5.220933e+03,-4.963085e+02,3.866554e+02,1.501210e+03,0.000000e+00,0.000000e+00,0.000000e+00
346.294,0,-1.870492e+06,4.792286e+06,4.383313e+06,-5.223235e+03,-5.890942e+02,3.077678e+02,1.483799e+03,0.000000e+00,0.000000e+00,0.000000e+00
359.613,0,-1.940072e+06,4.783824e+06,4.386888e+06,-5.224875e+03,-6.815226e+02,2.290825e+02,1.466389e+03,0.000000e+00,0.000000e+00,0.000000e+00
372.932,0,-2.009669e+06,4.774133e+06,4.389417e+06,-5.225859e+03,-7.736198e+02,1.505782e+02,1.448978e+03,0.000000e+00,0.000000e+00,0.000000e+00
386.251,0,-2.079275e+06,4.763217e+06,4.390900e+06,-5.226189e+03,-8.654106e+02,7.223425e+01,1.431568e+03,0.000000e+00,0.000000e+00,0.000000e+00
399.570,0,-2.148881e+06,4.751081e+06,4.391341e+06,-5.225872e+03,-9.569199e+02,-5.970021e+00,1.414157e+03,0.000000e+00,0.000000e+00,0.000000e+00
412.889,0,-2.218479e+06,4.737729e+06,4.390742e+06,-5.224909e+03,-1.048172e+03,-8.405470e+01,1.396747e+03,0.000000e+00,0.000000e+00,0.000000e+00
426.208,0,-2.288059e+06,4.723161e+06,4.389103e+06,-5.223303e+03,-1.139190e+03,-1.620394e+02,1.379336e+03,0.000000e+00,0.000000e+00,0.000000e+00
439.527,0,-2.357614e+06,4.707383e+06,4.386425e+06,-5.220575e+03,-1.230660e+03,-2.405841e+02,1.361926e+03,0.000000e+00,0.000000e+00,0.000000e+00
452.846,0,-2.427083e+06,4.690332e+06,4.382648e+06,-5.210810e+03,-1.329676e+03,-3.266665e+02,1.344516e+03,0.000000e+00,0.000000e+00,0.000000e+00
466.165,0,-2.496416e+06,4.671964e+06,4.377723e+06,-5.200191e+03,-1.428576e+03,-4.127821e+02,1.327105e+03,0.000000e+00,0.000000e+00,0.000000e+00
479.484,0,-2.565601e+06,4.652278e+06,4.371651e+06,-5.188711e+03,-1.527384e+03,-4.989528e+02,1.309695e+03,0.000000e+00,0.000000e+00,0.000000e+00
492.803,0,-2.634628e+06,4.631278e+06,4.364432e+06,-5.176363e+03,-1.626126e+03,-5.852015e+02,1.292284e+03,0.000000e+00,0.000000e+00,0.000000e+00
506.122,0,-2.703485e+06,4.608962e+06,4.356063e+06,-5.163136e+03,-1.724825e+03,-6.715507e+02,1.274874e+03,0.000000e+00,0.000000e+00,0.000000e+00
519.441,0,-2.772160e+06,4.585331e+06,4.346542e+06,-5.149021e+03,-1.823508e+03,-7.580232e+02,1.257463e+03,0.000000e+00,0.000000e+00,0.000000e+00
532.759,0,-2.840641e+06,4.560387e+06,4.335870e+06,-5.134006e+03,-1.922197e+03,-8.446412e+02,1.240053e+03,0.000000e+00,0.000000e+00,0.000000e+00
546.078,0,-2.908915e+06,4.534129e+06,4.324043e+06,-5.118080e+03,-2.020917e+03,-9.314271e+02,1.222643e+03,0.000000e+00,0.000000e+00,0.000000e+00
559.397,0,-2.976972e+06,4.506554e+06,4.311057e+06,-5.101226e+03,-2.119691e+03,-1.018403e+03,1.205232e+03,0.000000e+00,0.000000e+00,0.000000e+00
572.716,0,-3.044798e+06,4.477663e+06,4.296913e+06,-5.083433e+03,-2.218543e+03,-1.105592e+03,1.187822e+03,0.000000e+00,0.000000e+00,0.000000e+00
586.035,0,-3.112380e+06,4.447456e+06,4.281606e+06,-5.064685e+03,-2.317496e+03,-1.193015e+03,1.170411e+03,0.000000e+00,0.000000e+00,0.000000e+00
599.354,0,-3.179706e+06,4.415929e+06,4.265132e+06,-5.044963e+03,-2.416574e+03,-1.280695e+03,1.153001e+03,0.000000e+00,0.000000e+00,0.000000e+00
612.673,0,-3.246793e+06,4.383107e+06,4.247515e+06,-5.031112e+03,-2.509642e+03,-1.362332e+03,1.135590e+03,0.000000e+00,0.000000e+00,0.000000e+00
625.992,0,-3.313755e+06,4.349138e+06,4.228899e+06,-5.024301e+03,-2.589457e+03,-1.431557e+03,1.118180e+03,0.000000e+00,0.000000e+00,0.000000e+00
639.311,0,-3.380631e+06,4.314171e+06,4.209417e+06,-5.017804e+03,-2.659965e+03,-1.492784e+03,1.100769e+03,0.000000e+00,0.000000e+00,0.000000e+00
652.630,0,-3.447413e+06,4.278308e+06,4.189155e+06,-5.009958e+03,-2.724578e+03,-1.549186e+03,1.083359e+03,0.000000e+00,0.000000e+00,0.000000e+00
665.949,0,-3.514084e+06,4.241601e+06,4.168156e+06,-5.001413e+03,-2.787384e+03,-1.604153e+03,1.065949e+03,0.000000e+00,0.000000e+00,0.000000e+00
679.268,0,-3.580639e+06,4.204058e+06,4.146424e+06,-4.992673e+03,-2.849985e+03,-1.658975e+03,1.048538e+03,0.000000e+00,0.000000e+00,0.000000e+00
692.587,0,-3.647077e+06,4.165684e+06,4.123964e+06,-4.983762e+03,-2.912385e+03,-1.713652e+03,1.031128e+03,0.000000e+00,0.000000e+00,0.000000e+00
705.906,0,-3.713396e+06,4.126479e+06,4.100777e+06,-4.974703e+03,-2.974587e+03,-1.768182e+03,1.013717e+03,0.000000e+00,0.000000e+00,0.000000e+00
719.225,0,-3.779593e+06,4.086448e+06,4.076864e+06,-4.965524e+03,-3.036594e+03,-1.822566e+03,9.963068e+02,0.000000e+00,0.000000e+00,0.000000e+00
732.544,0,-3.845667e+06,4.045591e+06,4.052228e+06,-4.956251e+03,-3.098412e+03,-1.876802e+03,9.788963e+02,0.000000e+00,0.000000e+00,0.000000e+00
745.863,0,-3.911617e+06,4.003913e+06,4.026871e+06,-4.946916e+03,-3.160045e+03,-1.930890e+03,9.614859e+02,0.000000e+00,0.000000e+00,0.000000e+00
759.182,0,-3.977443e+06,3.961415e+06,4.000794e+06,-4.937550e+03,-3.221497e+03,-1.984828e+03,9.440755e+02,0.000000e+00,0.000000e+00,0.000000e+00
772.501,0,-4.043144e+06,3.918099e+06,3.973999e+06,-4.928188e+03,-3.282775e+03,-2.038616e+03,9.266650e+02,0.000000e+00,0.000000e+00,0.000000e+00
785.820,0,-4.108720e+06,3.873969e+06,3.946490e+06,-4.918866e+03,-3.343883e+03,-2.092254e+03,9.092546e+02,0.000000e+00,0.000000e+00,0.000000e+00
799.139,0,-4.174173e+06,3.829026e+06,3.918267e+06,-4.909623e+03,-3.404828e+03,-2.145740e+03,8.918441e+02,0.000000e+00,0.000000e+00,0.000000e+00
812.458,0,-4.239503e+06,3.783272e+06,3.889332e+06,-4.900502e+03,-3.465618e+03,-2.199075e+03,8.744337e+02,0.000000e+00,0.000000e+00,0.000000e+00
825.777,0,-4.304713e+06,3.736710e+06,3.859688e+06,-4.891548e+03,-3.526262e+03,-2.252258e+03,8.570232e+02,0.000000e+00,0.000000e+00,0.000000e+00
839.096,0,-4.369805e+06,3.689340e+06,3.829337e+06,-4.882810e+03,-3.586767e+03,-2.305291e+03,8.396128e+02,0.000000e+00,0.000000e+00,0.000000e+00
852.415,0,-4.434782e+06,3.641163e+06,3.798279e+06,-4.874411e+03,-3.648071e+03,-2.358952e+03,8.222024e+02,0.000000e+00,0.000000e+00,0.000000e+00
865.734,0,-4.499651e+06,3.592141e+06,3.766481e+06,-4.866346e+03,-3.714083e+03,-2.416583e+03,8.047919e+02,0.000000e+00,0.000000e+00,0.000000e+00
879.053,0,-4.564411e+06,3.542209e+06,3.733890e+06,-4.858033e+03,-3.784335e+03,-2.477873e+03,7.873815e+02,0.000000e+00,0.000000e+00,0.000000e+00
892.372,0,-4.629056e+06,3.491318e+06,3.700461e+06,-4.849141e+03,-3.858059e+03,-2.542219e+03,7.699710e+02,0.000000e+00,0.000000e+00,0.000000e+00
905.691,0,-4.693579e+06,3.439425e+06,3.666158e+06,-4.839493e+03,-3.934763e+03,-2.609226e+03,7.525606e+02,0.000000e+00,0.000000e+00,0.000000e+00
919.010,0,-4.757967e+06,3.386493e+06,3.630947e+06,-4.828962e+03,-4.014160e+03,-2.678671e+03,7.351502e+02,0.000000e+00,0.000000e+00,0.000000e+00
932.329,0,-4.822208e+06,3.332484e+06,3.594793e+06,-4.817427e+03,-4.096099e+03,-2.750443e+03,7.177397e+02,0.000000e+00,0.000000e+00,0.000000e+00
945.648,0,-4.886308e+06,3.277426e+06,3.557722e+06,-4.809789e+03,-4.165895e+03,-2.811240e+03,7.003293e+02,0.000000e+00,0.000000e+00,0.000000e+00
958.967,0,-4.950326e+06,3.221489e+06,3.519886e+06,-4.800502e+03,-4.240701e+03,-2.876571e+03,6.829188e+02,0.000000e+00,0.000000e+00,0.000000e+00
972.286,0,-5.014150e+06,3.164401e+06,3.481038e+06,-4.783263e+03,-4.332045e+03,-2.957260e+03,6.655084e+02,0.000000e+00,0.000000e+00,0.000000e+00
985.605,0,-5.077735e+06,3.106081e+06,3.441100e+06,-4.764425e+03,-4.425672e+03,-3.040149e+03,6.480980e+02,0.000000e+00,0.000000e+00,0.000000e+00
998.924,0,-5.141057e+06,3.046500e+06,3.400045e+06,-4.743890e+03,-4.521571e+03,-3.125241e+03,6.306875e+02,0.000000e+00,0.000000e+00,0.000000e+00
1012.243,0,-5.146161e+06,3.041631e+06,3.396679e+06,-4.742153e+03,-4.529418e+03,-3.132213e+03,6.292810e+02,0.000000e+00,0.000000e+00,0.000000e+00
1025.562,0,-5.146161e+06,3.041631e+06,3.396679e+06,-4.742153e+03,-4.529418e+03,-3.132213e+03,6.292810e+02,0.000000e+00,0.000000e+00,0.000000e+00
1038.881,0,-5.146161e+06,3.041631e+06,3.396679e+06,-4.742153e+03,-4.529418e+03,-3.132213e+03,6.292810e+02,0.000000e+00,0.000000e+00,0.000000e+00
1052.200,0,-5.146161e+06,3.041631e+06,3.396679e+06,-4.742153e+03,-4.529418e+03,-3.132213e+03,6.292810e+02,0.000000e+00,0.000000e+00,0.000000e+00
